Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
S,100,335,316,249,111,205,224,0.35126582278481,0.33134328358209,0.341013824884793,0.943283582089552,916.898734177215,200,2457.33028954163,0.142405063291139,Zonly,43,43,Stack
S,200,335,316,249,159,157,176,0.503164556962025,0.474626865671642,0.488479262672811,0.943283582089552,916.898734177215,200,2457.33028954163,0.142405063291139,Zonly,43,43,Stack
P,50,335,335,333,251,84,84,0.749253731343284,0.749253731343284,0.749253731343284,1,203.611940298507,19.9999999999996,1961.8729248181,0.00895522388059702,Zonly,43,44,Stack
P,100,335,335,333,295,40,40,0.880597014925373,0.880597014925373,0.880597014925373,1,203.611940298507,19.9999999999996,1961.8729248181,0.00895522388059702,Zonly,43,44,Stack
P,200,335,335,333,315,20,20,0.940298507462687,0.940298507462687,0.940298507462687,1,203.611940298507,19.9999999999996,1961.8729248181,0.00895522388059702,Zonly,43,44,Stack
S,50,335,310,249,71,239,264,0.229032258064516,0.211940298507463,0.22015503875969,0.925373134328358,1010,219.999999999999,2591.65609028717,0.164516129032258,Zonly,43,44,Stack
S,100,335,310,249,110,200,225,0.354838709677419,0.328358208955224,0.341085271317829,0.925373134328358,1010,219.999999999999,2591.65609028717,0.164516129032258,Zonly,43,44,Stack
S,200,335,310,249,154,156,181,0.496774193548387,0.459701492537313,0.477519379844961,0.925373134328358,1010,219.999999999999,2591.65609028717,0.164516129032258,Zonly,43,44,Stack
P,50,335,335,333,240,95,95,0.716417910447761,0.716417910447761,0.716417910447761,1,170.238805970149,19.9999999999996,1833.14337324326,0.00597014925373134,Full3C,44,42,Stack
P,100,335,335,333,289,46,46,0.862686567164179,0.862686567164179,0.862686567164179,1,170.238805970149,19.9999999999996,1833.14337324326,0.00597014925373134,Full3C,44,42,Stack
P,200,335,335,333,310,25,25,0.925373134328358,0.925373134328358,0.925373134328358,1,170.238805970149,19.9999999999996,1833.14337324326,0.00597014925373134,Full3C,44,42,Stack
S,50,335,331,313,140,191,195,0.422960725075529,0.417910447761194,0.42042042042042,0.988059701492537,654.531722054381,70.0000000000003,2166.14747052188,0.0876132930513595,Full3C,44,42,Stack
S,100,335,331,313,194,137,141,0.586102719033233,0.57910447761194,0.582582582582583,0.988059701492537,654.531722054381,70.0000000000003,2166.14747052188,0.0876132930513595,Full3C,44,42,Stack
S,200,335,331,313,236,95,99,0.712990936555891,0.704477611940298,0.708708708708709,0.988059701492537,654.531722054381,70.0000000000003,2166.14747052188,0.0876132930513595,Full3C,44,42,Stack
P,50,335,333,332,237,96,98,0.711711711711712,0.707462686567164,0.709580838323353,0.994029850746269,72.7027027027027,19.9999999999996,297.166296554316,0.003003003003003,Full3C,44,43,Stack
P,100,335,333,332,286,47,49,0.858858858858859,0.853731343283582,0.856287425149701,0.994029850746269,72.7027027027027,19.9999999999996,297.166296554316,0.003003003003003,Full3C,44,43,Stack
P,200,335,333,332,308,25,27,0.924924924924925,0.919402985074627,0.922155688622755,0.994029850746269,72.7027027027027,19.9999999999996,297.166296554316,0.003003003003003,Full3C,44,43,Stack
S,50,335,327,300,141,186,194,0.431192660550459,0.42089552238806,0.425981873111782,0.976119402985075,686.727828746177,70.0000000000003,2555.5815271472,0.0825688073394495,Full3C,44,43,Stack
S,100,335,327,300,192,135,143,0.587155963302752,0.573134328358209,0.580060422960725,0.976119402985075,686.727828746177,70.0000000000003,2555.5815271472,0.0825688073394495,Full3C,44,43,Stack
S,200,335,327,300,238,89,97,0.72782874617737,0.71044776119403,0.719033232628399,0.976119402985075,686.727828746177,70.0000000000003,2555.5815271472,0.0825688073394495,Full3C,44,43,Stack
P,50,335,333,333,240,93,95,0.720720720720721,0.716417910447761,0.718562874251497,0.994029850746269,70.7207207207207,19.9999999999996,294.685152899394,0.003003003003003,Full3C,44,44,Stack
P,100,335,333,333,290,43,45,0.870870870870871,0.865671641791045,0.868263473053892,0.994029850746269,70.7207207207207,19.9999999999996,294.685152899394,0.003003003003003,Full3C,44,44,Stack
P,200,335,333,333,311,22,24,0.933933933933934,0.928358208955224,0.931137724550898,0.994029850746269,70.7207207207207,19.9999999999996,294.685152899394,0.003003003003003,Full3C,44,44,Stack
S,50,335,329,309,143,186,192,0.434650455927052,0.426865671641791,0.430722891566265,0.982089552238806,641.762917933131,70.0000000000003,2267.20842503577,0.0820668693009119,Full3C,44,44,Stack
S,100,335,329,309,197,132,138,0.598784194528875,0.588059701492537,0.593373493975904,0.982089552238806,641.762917933131,70.0000000000003,2267.20842503577,0.0820668693009119,Full3C,44,44,Stack
S,200,335,329,309,246,83,89,0.747720364741641,0.734328358208955,0.740963855421687,0.982089552238806,641.762917933131,70.0000000000003,2267.20842503577,0.0820668693009119,Full3C,44,44,Stack
P,50,335,333,327,246,87,89,0.738738738738739,0.734328358208955,0.736526946107784,0.994029850746269,68.4084084084083,19.9999999999996,293.962265969314,0.003003003003003,Zonly,44,42,Stack
P,100,335,333,327,292,41,43,0.876876876876877,0.871641791044776,0.874251497005988,0.994029850746269,68.4084084084083,19.9999999999996,293.962265969314,0.003003003003003,Zonly,44,42,Stack
P,200,335,333,327,311,22,24,0.933933933933934,0.928358208955224,0.931137724550898,0.994029850746269,68.4084084084083,19.9999999999996,293.962265969314,0.003003003003003,Zonly,44,42,Stack
S,50,335,310,256,66,244,269,0.212903225806452,0.197014925373134,0.204651162790698,0.925373134328358,896.387096774194,180.000000000001,2299.85006523918,0.138709677419355,Zonly,44,42,Stack
S,100,335,310,256,114,196,221,0.367741935483871,0.340298507462687,0.353488372093023,0.925373134328358,896.387096774194,180.000000000001,2299.85006523918,0.138709677419355,Zonly,44,42,Stack
S,200,335,310,256,163,147,172,0.525806451612903,0.486567164179104,0.505426356589147,0.925373134328358,896.387096774194,180.000000000001,2299.85006523918,0.138709677419355,Zonly,44,42,Stack
P,50,335,334,327,247,87,88,0.739520958083832,0.737313432835821,0.738415545590433,0.997014925373134,104.071856287425,19.9999999999996,742.035152580166,0.00598802395209581,Zonly,44,43,Stack
P,100,335,334,327,292,42,43,0.874251497005988,0.871641791044776,0.872944693572496,0.997014925373134,104.071856287425,19.9999999999996,742.035152580166,0.00598802395209581,Zonly,44,43,Stack
P,200,335,334,327,315,19,20,0.94311377245509,0.940298507462687,0.94170403587444,0.997014925373134,104.071856287425,19.9999999999996,742.035152580166,0.00598802395209581,Zonly,44,43,Stack
S,50,335,317,255,69,248,266,0.217665615141956,0.205970149253731,0.211656441717791,0.946268656716418,849.968454258675,190,2283.91550446722,0.135646687697161,Zonly,44,43,Stack
S,100,335,317,255,115,202,220,0.362776025236593,0.343283582089552,0.352760736196319,0.946268656716418,849.968454258675,190,2283.91550446722,0.135646687697161,Zonly,44,43,Stack
S,200,335,317,255,161,156,174,0.50788643533123,0.480597014925373,0.493865030674847,0.946268656716418,849.968454258675,190,2283.91550446722,0.135646687697161,Zonly,44,43,Stack
P,50,335,335,332,246,89,89,0.734328358208955,0.734328358208955,0.734328358208955,1,205.940298507463,19.9999999999996,1959.44836891605,0.00895522388059702,Zonly,44,44,Stack
P,100,335,335,332,291,44,44,0.86865671641791,0.86865671641791,0.86865671641791,1,205.940298507463,19.9999999999996,1959.44836891605,0.00895522388059702,Zonly,44,44,Stack
P,200,335,335,332,310,25,25,0.925373134328358,0.925373134328358,0.925373134328358,1,205.940298507463,19.9999999999996,1959.44836891605,0.00895522388059702,Zonly,44,44,Stack
S,50,335,313,248,59,254,276,0.188498402555911,0.176119402985075,0.182098765432099,0.934328358208955,961.054313099042,200.000000000001,2456.84484277491,0.156549520766773,Zonly,44,44,Stack
S,100,335,313,248,110,203,225,0.351437699680511,0.328358208955224,0.339506172839506,0.934328358208955,961.054313099042,200.000000000001,2456.84484277491,0.156549520766773,Zonly,44,44,Stack
S,200,335,313,248,158,155,177,0.504792332268371,0.471641791044776,0.487654320987654,0.934328358208955,961.054313099042,200.000000000001,2456.84484277491,0.156549520766773,Zonly,44,44,Stack
P,50,335,334,333,317,17,18,0.949101796407186,0.946268656716418,0.947683109118087,0.997014925373134,21.7065868263472,0,106.774988661169,0.0029940119760479,Full3C,42,NaN,PhaseNetMatched
P,100,335,334,333,321,13,14,0.961077844311377,0.958208955223881,0.959641255605381,0.997014925373134,21.7065868263472,0,106.774988661169,0.0029940119760479,Full3C,42,NaN,PhaseNetMatched
P,200,335,334,333,328,6,7,0.982035928143713,0.97910447761194,0.980568011958146,0.997014925373134,21.7065868263472,0,106.774988661169,0.0029940119760479,Full3C,42,NaN,PhaseNetMatched
S,50,335,333,330,142,191,193,0.426426426426426,0.423880597014925,0.425149700598802,0.994029850746269,204.354354354354,60.0000000000023,782.240372264178,0.015015015015015,Full3C,42,NaN,PhaseNetMatched
S,100,335,333,330,216,117,119,0.648648648648649,0.644776119402985,0.646706586826347,0.994029850746269,204.354354354354,60.0000000000023,782.240372264178,0.015015015015015,Full3C,42,NaN,PhaseNetMatched
S,200,335,333,330,268,65,67,0.804804804804805,0.8,0.802395209580838,0.994029850746269,204.354354354354,60.0000000000023,782.240372264178,0.015015015015015,Full3C,42,NaN,PhaseNetMatched
P,50,335,334,334,318,16,17,0.952095808383233,0.949253731343284,0.95067264573991,0.997014925373134,22.3353293413173,0,101.995068566946,0.00898203592814371,Full3C,43,NaN,PhaseNetMatched
P,100,335,334,334,323,11,12,0.967065868263473,0.964179104477612,0.965620328849028,0.997014925373134,22.3353293413173,0,101.995068566946,0.00898203592814371,Full3C,43,NaN,PhaseNetMatched
P,200,335,334,334,330,4,5,0.988023952095808,0.985074626865672,0.986547085201794,0.997014925373134,22.3353293413173,0,101.995068566946,0.00898203592814371,Full3C,43,NaN,PhaseNetMatched
S,50,335,333,332,150,183,185,0.45045045045045,0.447761194029851,0.449101796407186,0.994029850746269,221.561561561562,69.9999999999985,924.571485842189,0.012012012012012,Full3C,43,NaN,PhaseNetMatched
S,100,335,333,332,208,125,127,0.624624624624625,0.62089552238806,0.622754491017964,0.994029850746269,221.561561561562,69.9999999999985,924.571485842189,0.012012012012012,Full3C,43,NaN,PhaseNetMatched
S,200,335,333,332,264,69,71,0.792792792792793,0.788059701492537,0.790419161676647,0.994029850746269,221.561561561562,69.9999999999985,924.571485842189,0.012012012012012,Full3C,43,NaN,PhaseNetMatched
P,50,335,333,332,317,16,18,0.951951951951952,0.946268656716418,0.949101796407186,0.994029850746269,21.6516516516516,0,114.289816528692,0.00600600600600601,Full3C,44,NaN,PhaseNetMatched
P,100,335,333,332,325,8,10,0.975975975975976,0.970149253731343,0.973053892215569,0.994029850746269,21.6516516516516,0,114.289816528692,0.00600600600600601,Full3C,44,NaN,PhaseNetMatched
P,200,335,333,332,328,5,7,0.984984984984985,0.97910447761194,0.982035928143713,0.994029850746269,21.6516516516516,0,114.289816528692,0.00600600600600601,Full3C,44,NaN,PhaseNetMatched
S,50,335,333,333,137,196,198,0.411411411411411,0.408955223880597,0.410179640718563,0.994029850746269,224.384384384384,79.9999999999983,857.891472027656,0.018018018018018,Full3C,44,NaN,PhaseNetMatched
S,100,335,333,333,204,129,131,0.612612612612613,0.608955223880597,0.610778443113772,0.994029850746269,224.384384384384,79.9999999999983,857.891472027656,0.018018018018018,Full3C,44,NaN,PhaseNetMatched
S,200,335,333,333,251,82,84,0.753753753753754,0.749253731343284,0.751497005988024,0.994029850746269,224.384384384384,79.9999999999983,857.891472027656,0.018018018018018,Full3C,44,NaN,PhaseNetMatched
P,50,335,334,332,312,22,23,0.934131736526946,0.93134328358209,0.932735426008969,0.997014925373134,27.8742514970059,9.99999999999979,109.316055545377,0.0029940119760479,Zonly,42,NaN,PhaseNetMatched
P,100,335,334,332,321,13,14,0.961077844311377,0.958208955223881,0.959641255605381,0.997014925373134,27.8742514970059,9.99999999999979,109.316055545377,0.0029940119760479,Zonly,42,NaN,PhaseNetMatched
P,200,335,334,332,328,6,7,0.982035928143713,0.97910447761194,0.980568011958146,0.997014925373134,27.8742514970059,9.99999999999979,109.316055545377,0.0029940119760479,Zonly,42,NaN,PhaseNetMatched
S,50,335,334,333,78,256,257,0.233532934131737,0.232835820895522,0.233183856502242,0.997014925373134,561.556886227545,165,1822.83585078914,0.0748502994011976,Zonly,42,NaN,PhaseNetMatched
S,100,335,334,333,126,208,209,0.377245508982036,0.376119402985075,0.376681614349776,0.997014925373134,561.556886227545,165,1822.83585078914,0.0748502994011976,Zonly,42,NaN,PhaseNetMatched
S,200,335,334,333,188,146,147,0.562874251497006,0.561194029850746,0.56203288490284,0.997014925373134,561.556886227545,165,1822.83585078914,0.0748502994011976,Zonly,42,NaN,PhaseNetMatched
P,50,335,335,333,319,16,16,0.952238805970149,0.952238805970149,0.952238805970149,1,25.7014925373133,9.99999999999979,100.474991319218,0,Zonly,43,NaN,PhaseNetMatched
P,100,335,335,333,326,9,9,0.973134328358209,0.973134328358209,0.973134328358209,1,25.7014925373133,9.99999999999979,100.474991319218,0,Zonly,43,NaN,PhaseNetMatched
P,200,335,335,333,331,4,4,0.988059701492537,0.988059701492537,0.988059701492537,1,25.7014925373133,9.99999999999979,100.474991319218,0,Zonly,43,NaN,PhaseNetMatched
S,50,335,333,324,86,247,249,0.258258258258258,0.256716417910448,0.25748502994012,0.994029850746269,381.081081081081,150,1203.38436666509,0.0570570570570571,Zonly,43,NaN,PhaseNetMatched
S,100,335,333,324,127,206,208,0.381381381381381,0.37910447761194,0.380239520958084,0.994029850746269,381.081081081081,150,1203.38436666509,0.0570570570570571,Zonly,43,NaN,PhaseNetMatched
S,200,335,333,324,194,139,141,0.582582582582583,0.57910447761194,0.580838323353293,0.994029850746269,381.081081081081,150,1203.38436666509,0.0570570570570571,Zonly,43,NaN,PhaseNetMatched
P,50,335,335,335,313,22,22,0.934328358208955,0.934328358208955,0.934328358208955,1,24.6567164179104,9.99999999999979,113.907529922891,0.00298507462686567,Zonly,44,NaN,PhaseNetMatched
P,100,335,335,335,321,14,14,0.958208955223881,0.958208955223881,0.958208955223881,1,24.6567164179104,9.99999999999979,113.907529922891,0.00298507462686567,Zonly,44,NaN,PhaseNetMatched
P,200,335,335,335,330,5,5,0.985074626865672,0.985074626865672,0.985074626865672,1,24.6567164179104,9.99999999999979,113.907529922891,0.00298507462686567,Zonly,44,NaN,PhaseNetMatched
S,50,335,334,329,72,262,263,0.215568862275449,0.214925373134328,0.2152466367713,0.997014925373134,466.137724550898,180,1443.70313517529,0.0718562874251497,Zonly,44,NaN,PhaseNetMatched
S,100,335,334,329,117,217,218,0.350299401197605,0.349253731343284,0.349775784753363,0.997014925373134,466.137724550898,180,1443.70313517529,0.0718562874251497,Zonly,44,NaN,PhaseNetMatched
S,200,335,334,329,187,147,148,0.559880239520958,0.558208955223881,0.559043348281016,0.997014925373134,466.137724550898,180,1443.70313517529,0.0718562874251497,Zonly,44,NaN,PhaseNetMatched
