evaluation,policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,strict,P,100,330,313,313,264,49,66,0.8434504792332268,0.8,0.8211508553654744,0.9484848484848485,129.00958466453665,29.99999999999936,659.2725199726243,0.012779552715654952
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,strict,P,200,330,313,313,284,29,46,0.9073482428115016,0.8606060606060606,0.8833592534992224,0.9484848484848485,129.00958466453665,29.99999999999936,659.2725199726243,0.012779552715654952
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,strict,S,50,330,143,143,73,70,257,0.5104895104895105,0.22121212121212122,0.3086680761099366,0.43333333333333335,156.2937062937063,50.00000000000071,453.77746309615907,0.013986013986013986
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,strict,S,100,330,143,143,96,47,234,0.6713286713286714,0.2909090909090909,0.4059196617336152,0.43333333333333335,156.2937062937063,50.00000000000071,453.77746309615907,0.013986013986013986
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,strict,S,200,330,143,143,120,23,210,0.8391608391608392,0.36363636363636365,0.507399577167019,0.43333333333333335,156.2937062937063,50.00000000000071,453.77746309615907,0.013986013986013986
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,unconstrained,P,50,330,330,313,219,111,111,0.6636363636363637,0.6636363636363637,0.6636363636363637,1.0,424.24242424242414,30.00000000000025,2843.259546451018,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,unconstrained,P,100,330,330,313,265,65,65,0.803030303030303,0.803030303030303,0.803030303030303,1.0,424.24242424242414,30.00000000000025,2843.259546451018,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,unconstrained,P,200,330,330,313,289,41,41,0.8757575757575757,0.8757575757575757,0.8757575757575757,1.0,424.24242424242414,30.00000000000025,2843.259546451018,0.024242424242424242
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,unconstrained,S,50,330,254,146,104,150,226,0.4094488188976378,0.3151515151515151,0.3561643835616438,0.7696969696969697,453.07086614173227,80.00000000000007,1492.8593818100444,0.07480314960629922
strengthening/base_43/Full3C/Full3C/baselines/weighted_ensemble,unconstrained,S,100,330,254,146,141,113,189,0.5551181102362205,0.42727272727272725,0.4828767123287671,0.7696969696969697,453.07086614173227,80.00000000000007,1492.8593818100444,0.07480314960629922
