Method,Mode,Policy,Phase,Tolerance_ms,BaseSeed,F1,MAE_ms,AcceptedCoverage,MedAE_ms,RMSE_ms,OutlierRate1s,meta_F1_SD
PhaseNetMatched,Full3C,strict,P,50,42,0.9727272727272728,41.090909090908866,1.0,9.999999999999787,365.44451968759495,0.0030303030303030303,0
PhaseNetMatched,Full3C,strict,P,50,43,0.9757575757575757,28.333333333333282,1.0,0.0,272.4762986634495,0.0030303030303030303,0
PhaseNetMatched,Full3C,strict,P,50,44,0.9772382397572079,33.981762917932926,0.996969696969697,9.999999999999787,261.79529811572536,0.00303951367781155,0
PhaseNetMatched,Full3C,strict,P,100,42,0.9818181818181818,41.090909090908866,1.0,9.999999999999787,365.44451968759495,0.0030303030303030303,0
PhaseNetMatched,Full3C,strict,P,100,43,0.9848484848484849,28.333333333333282,1.0,0.0,272.4762986634495,0.0030303030303030303,0
PhaseNetMatched,Full3C,strict,P,100,44,0.9833080424886191,33.981762917932926,0.996969696969697,9.999999999999787,261.79529811572536,0.00303951367781155,0
PhaseNetMatched,Full3C,strict,P,200,42,0.9848484848484849,41.090909090908866,1.0,9.999999999999787,365.44451968759495,0.0030303030303030303,0
PhaseNetMatched,Full3C,strict,P,200,43,0.9848484848484849,28.333333333333282,1.0,0.0,272.4762986634495,0.0030303030303030303,0
PhaseNetMatched,Full3C,strict,P,200,44,0.9863429438543247,33.981762917932926,0.996969696969697,9.999999999999787,261.79529811572536,0.00303951367781155,0
PhaseNetMatched,Full3C,strict,S,50,42,0.3683409436834094,176.42201834862382,0.990909090909091,80.00000000000007,384.56655770993456,0.01529051987767584,0
PhaseNetMatched,Full3C,strict,S,50,43,0.40428790199081166,162.04334365325076,0.9787878787878788,70.00000000000028,377.5487174600485,0.006191950464396285,0
PhaseNetMatched,Full3C,strict,S,50,44,0.3567073170731707,163.92638036809814,0.9878787878787879,89.99999999999986,259.292335670423,0.006134969325153374,0
PhaseNetMatched,Full3C,strict,S,100,42,0.5814307458143074,176.42201834862382,0.990909090909091,80.00000000000007,384.56655770993456,0.01529051987767584,0
PhaseNetMatched,Full3C,strict,S,100,43,0.6186830015313936,162.04334365325076,0.9787878787878788,70.00000000000028,377.5487174600485,0.006191950464396285,0
PhaseNetMatched,Full3C,strict,S,100,44,0.5579268292682927,163.92638036809814,0.9878787878787879,89.99999999999986,259.292335670423,0.006134969325153374,0
PhaseNetMatched,Full3C,strict,S,200,42,0.7488584474885844,176.42201834862382,0.990909090909091,80.00000000000007,384.56655770993456,0.01529051987767584,0
PhaseNetMatched,Full3C,strict,S,200,43,0.7565084226646248,162.04334365325076,0.9787878787878788,70.00000000000028,377.5487174600485,0.006191950464396285,0
PhaseNetMatched,Full3C,strict,S,200,44,0.7134146341463414,163.92638036809814,0.9878787878787879,89.99999999999986,259.292335670423,0.006134969325153374,0
PhaseNetMatched,Zonly,accepted,P,50,42,0.9818181818181818,21.48484848484837,1.0,0.0,140.00757555261504,0.0030303030303030303,0
PhaseNetMatched,Zonly,accepted,P,50,43,0.9742033383915023,26.504559270516463,0.996969696969697,9.999999999999787,100.0729217403664,0.0,0
