Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,44,43,accepted,P,100,335,333,332,286,47,49,0.8588588588588588,0.8537313432835821,0.8562874251497006,0.9940298507462687,72.70270270270258,19.999999999999574,297.1662965543162,0.003003003003003003
Stack,Full3C,44,43,accepted,P,200,335,333,332,308,25,27,0.924924924924925,0.9194029850746268,0.9221556886227545,0.9940298507462687,72.70270270270258,19.999999999999574,297.1662965543162,0.003003003003003003
Stack,Full3C,44,43,accepted,S,50,335,327,300,141,186,194,0.43119266055045874,0.4208955223880597,0.4259818731117825,0.9761194029850746,686.7278287461774,70.00000000000028,2555.581527147202,0.08256880733944955
Stack,Full3C,44,43,accepted,S,100,335,327,300,192,135,143,0.5871559633027523,0.573134328358209,0.5800604229607251,0.9761194029850746,686.7278287461774,70.00000000000028,2555.581527147202,0.08256880733944955
Stack,Full3C,44,43,accepted,S,200,335,327,300,238,89,97,0.72782874617737,0.7104477611940299,0.7190332326283988,0.9761194029850746,686.7278287461774,70.00000000000028,2555.581527147202,0.08256880733944955
Stack,Full3C,44,43,strict,P,50,335,332,332,237,95,98,0.713855421686747,0.7074626865671642,0.7106446776611695,0.991044776119403,71.59638554216856,19.999999999999574,296.63220096712763,0.0030120481927710845
Stack,Full3C,44,43,strict,P,100,335,332,332,286,46,49,0.8614457831325302,0.8537313432835821,0.8575712143928036,0.991044776119403,71.59638554216856,19.999999999999574,296.63220096712763,0.0030120481927710845
Stack,Full3C,44,43,strict,P,200,335,332,332,308,24,27,0.927710843373494,0.9194029850746268,0.9235382308845578,0.991044776119403,71.59638554216856,19.999999999999574,296.63220096712763,0.0030120481927710845
Stack,Full3C,44,43,strict,S,50,335,300,300,135,165,200,0.45,0.40298507462686567,0.4251968503937008,0.8955223880597015,457.8333333333333,60.000000000001386,1670.3589434609557,0.06
Stack,Full3C,44,43,strict,S,100,335,300,300,184,116,151,0.6133333333333333,0.5492537313432836,0.5795275590551181,0.8955223880597015,457.8333333333333,60.000000000001386,1670.3589434609557,0.06
