Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
S,100,330,326,315,175,151,155,0.53680981595092,0.53030303030303,0.533536585365854,0.987878787878788,723.527607361963,89.9999999999999,2650.07969552579,0.0920245398773006,Full3C,44,44,Stack
S,200,330,326,315,223,103,107,0.684049079754601,0.675757575757576,0.679878048780488,0.987878787878788,723.527607361963,89.9999999999999,2650.07969552579,0.0920245398773006,Full3C,44,44,Stack
P,50,330,326,318,235,91,95,0.720858895705521,0.712121212121212,0.716463414634146,0.987878787878788,128.803680981595,29.9999999999994,648.376216244405,0.0122699386503067,Zonly,44,42,Stack
P,100,330,326,318,268,58,62,0.822085889570552,0.812121212121212,0.817073170731707,0.987878787878788,128.803680981595,29.9999999999994,648.376216244405,0.0122699386503067,Zonly,44,42,Stack
P,200,330,326,318,299,27,31,0.917177914110429,0.906060606060606,0.911585365853659,0.987878787878788,128.803680981595,29.9999999999994,648.376216244405,0.0122699386503067,Zonly,44,42,Stack
S,50,330,310,252,53,257,277,0.170967741935484,0.160606060606061,0.165625,0.939393939393939,972.41935483871,250,2216.74674445058,0.183870967741935,Zonly,44,42,Stack
S,100,330,310,252,93,217,237,0.3,0.281818181818182,0.290625,0.939393939393939,972.41935483871,250,2216.74674445058,0.183870967741935,Zonly,44,42,Stack
S,200,330,310,252,146,164,184,0.470967741935484,0.442424242424242,0.45625,0.939393939393939,972.41935483871,250,2216.74674445058,0.183870967741935,Zonly,44,42,Stack
P,50,330,329,324,229,100,101,0.696048632218845,0.693939393939394,0.694992412746586,0.996969696969697,291.671732522796,29.9999999999994,2107.6031128889,0.0212765957446809,Zonly,44,43,Stack
P,100,330,329,324,271,58,59,0.82370820668693,0.821212121212121,0.822458270106222,0.996969696969697,291.671732522796,29.9999999999994,2107.6031128889,0.0212765957446809,Zonly,44,43,Stack
P,200,330,329,324,298,31,32,0.905775075987842,0.903030303030303,0.904400606980273,0.996969696969697,291.671732522796,29.9999999999994,2107.6031128889,0.0212765957446809,Zonly,44,43,Stack
S,50,330,308,245,42,266,288,0.136363636363636,0.127272727272727,0.13166144200627,0.933333333333333,1050.32467532468,235,2361.95150988858,0.188311688311688,Zonly,44,43,Stack
S,100,330,308,245,84,224,246,0.272727272727273,0.254545454545455,0.263322884012539,0.933333333333333,1050.32467532468,235,2361.95150988858,0.188311688311688,Zonly,44,43,Stack
S,200,330,308,245,144,164,186,0.467532467532468,0.436363636363636,0.45141065830721,0.933333333333333,1050.32467532468,235,2361.95150988858,0.188311688311688,Zonly,44,43,Stack
P,50,330,327,322,234,93,96,0.715596330275229,0.709090909090909,0.712328767123288,0.990909090909091,159.60244648318,30.0000000000002,796.70940220361,0.018348623853211,Zonly,44,44,Stack
P,100,330,327,322,270,57,60,0.825688073394495,0.818181818181818,0.821917808219178,0.990909090909091,159.60244648318,30.0000000000002,796.70940220361,0.018348623853211,Zonly,44,44,Stack
P,200,330,327,322,299,28,31,0.914373088685015,0.906060606060606,0.910197869101979,0.990909090909091,159.60244648318,30.0000000000002,796.70940220361,0.018348623853211,Zonly,44,44,Stack
